,YearStart,LocationDesc,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size
0,2013,National,50.2,49.9,50.5,433081
1,2013,Alabama,45.4,43.5,47.2,5915
2,2013,Alaska,55.3,53.1,57.5,4127
3,2013,Arizona,51.9,49.1,54.8,3777
4,2013,Arkansas,41.2,39.2,43.3,4663
5,2013,California,56.3,55.0,57.7,10078
6,2013,Colorado,60.4,59.2,61.6,12024
7,2013,Connecticut,50.9,49.2,52.7,6902
8,2013,Delaware,49.7,47.7,51.7,4751
9,2013,District of Columbia,57.7,55.2,60.1,4239
10,2013,Florida,50.2,48.9,51.5,29055
11,2013,Georgia,50.8,49.2,52.4,7119
12,2013,Hawaii,60.2,58.5,61.9,7266
13,2013,Idaho,53.9,51.8,55.9,5078
14,2013,Illinois,52.4,50.4,54.4,5234
15,2013,Indiana,44.0,42.7,45.4,9177
16,2013,Iowa,46.9,45.4,48.5,7473
17,2013,Kansas,49.1,48.3,50.0,21446
18,2013,Kentucky,46.0,44.5,47.5,9820
19,2013,Louisiana,45.1,42.9,47.4,4784
20,2013,Maine,53.6,52.1,55.1,7445
21,2013,Maryland,48.6,47.1,50.1,11194
22,2013,Massachusetts,54.5,53.1,55.9,13145
23,2013,Michigan,53.1,51.8,54.3,11826
24,2013,Minnesota,52.7,51.1,54.3,12903
25,2013,Mississippi,37.4,35.7,39.1,6711
26,2013,Missouri,48.6,46.8,50.5,6587
27,2013,Montana,57.8,56.4,59.3,8974
28,2013,Nebraska,50.1,48.8,51.4,15730
29,2013,Nevada,53.6,50.9,56.3,4649
30,2013,New Hampshire,55.4,53.7,57.2,5768
31,2013,New Jersey,50.5,49.1,51.9,11606
32,2013,New Mexico,55.0,53.4,56.6,8275
33,2013,New York,47.3,45.8,48.8,7758
34,2013,North Carolina,48.6,47.1,50.1,8073
35,2013,North Dakota,45.3,43.6,46.9,7100
36,2013,Ohio,49.5,48.1,51.0,10746
37,2013,Oklahoma,43.9,42.5,45.4,7625
38,2013,Oregon,64.1,62.2,65.9,5184
39,2013,Pennsylvania,47.8,46.5,49.1,10110
40,2013,Rhode Island,49.1,47.3,50.9,5689
41,2013,South Carolina,49.1,47.7,50.5,9637
42,2013,South Dakota,53.7,51.6,55.7,6423
43,2013,Tennessee,37.7,35.8,39.6,5002
44,2013,Texas,42.1,40.6,43.7,9672
45,2013,Utah,55.3,54.1,56.4,11589
46,2013,Vermont,58.8,57.1,60.4,5792
47,2013,Virginia,51.9,50.3,53.4,7483
48,2013,Washington,56.3,55.0,57.6,10422
49,2013,West Virginia,47.6,46.0,49.2,5587
50,2013,Wisconsin,53.4,51.3,55.4,5652
51,2013,Wyoming,54.2,52.4,56.1,5796
