,YearEnd,LocationAbbr,LocationDesc,DataValue,Stratification1
7,2020,DE,Delaware,13.6,Male
41116,2016,AL,Alabama,15.8,"Other, non-Hispanic"
41125,2011,AL,Alabama,0.0,"Multiracial, non-Hispanic"
41130,2017,AL,Alabama,14.4,Female
41131,2019,AK,Alaska,0.0,"Black, non-Hispanic"
41136,2013,AL,Alabama,13.8,Overall
41143,2018,AK,Alaska,7.8,Female
41145,2012,AK,Alaska,6.9,"White, non-Hispanic"
41190,2019,AL,Alabama,13.8,Female
41217,2017,AL,Alabama,14.2,Overall
41246,2012,AK,Alaska,7.0,Overall
41259,2014,AK,Alaska,8.6,Female
41290,2011,AL,Alabama,11.8,Overall
41314,2013,AL,Alabama,0.0,"Multiracial, non-Hispanic"
41384,2016,AK,Alaska,7.3,Female
41407,2013,AK,Alaska,7.5,Male
41425,2019,AL,Alabama,0.0,"Multiracial, non-Hispanic"
41446,2016,AL,Alabama,14.4,Female
41453,2014,AL,Alabama,0.0,Hispanic
41471,2019,AK,Alaska,6.1,"Other, non-Hispanic"
41516,2017,AK,Alaska,0.0,"Other, non-Hispanic"
41528,2015,AK,Alaska,7.6,Male
41541,2013,AK,Alaska,7.2,"Other, non-Hispanic"
41554,2019,AL,Alabama,14.0,Overall
41582,2012,AL,Alabama,7.7,Hispanic
41590,2017,AK,Alaska,7.5,Male
41593,2017,AL,Alabama,13.9,Male
41599,2013,AK,Alaska,6.6,Female
41623,2019,AK,Alaska,6.6,Male
41625,2013,AL,Alabama,18.1,"Black, non-Hispanic"
41652,2019,AL,Alabama,14.1,Male
41662,2011,AK,Alaska,8.2,Female
41667,2015,AK,Alaska,7.5,"Other, non-Hispanic"
41678,2017,AL,Alabama,0.0,"Multiracial, non-Hispanic"
41700,2012,AK,Alaska,0.0,"Multiracial, non-Hispanic"
41701,2015,AL,Alabama,16.8,"Black, non-Hispanic"
41708,2013,AK,Alaska,6.6,"White, non-Hispanic"
41730,2016,AK,Alaska,0.0,"Multiracial, non-Hispanic"
41738,2015,AL,Alabama,0.0,"Other, non-Hispanic"
41741,2011,AK,Alaska,6.9,"White, non-Hispanic"
41779,2012,AL,Alabama,12.2,Overall
41822,2011,AL,Alabama,12.5,Female
41827,2014,AL,Alabama,12.9,Overall
41832,2019,AK,Alaska,8.0,Female
41847,2015,AK,Alaska,6.3,"White, non-Hispanic"
41861,2014,AK,Alaska,0.0,"Multiracial, non-Hispanic"
41884,2016,AL,Alabama,14.1,"White, non-Hispanic"
41886,2011,AK,Alaska,8.4,"Other, non-Hispanic"
41899,2019,AK,Alaska,8.5,"White, non-Hispanic"
41918,2017,AK,Alaska,7.6,"White, non-Hispanic"
41920,2015,AL,Alabama,12.7,"White, non-Hispanic"
41943,2015,AL,Alabama,14.0,Female
41959,2015,AK,Alaska,7.7,Female
41976,2017,AK,Alaska,7.4,Female
41979,2018,AL,Alabama,14.0,"White, non-Hispanic"
41988,2018,AL,Alabama,17.5,"Black, non-Hispanic"
42042,2013,AL,Alabama,14.1,Female
42059,2011,AK,Alaska,7.6,Male
42061,2018,AK,Alaska,0.0,"Multiracial, non-Hispanic"
42062,2012,AL,Alabama,16.1,"Black, non-Hispanic"
42102,2012,AL,Alabama,6.1,"Other, non-Hispanic"
42108,2015,AL,Alabama,12.9,Male
42159,2018,AL,Alabama,0.0,Hispanic
42167,2013,AL,Alabama,13.6,Male
42215,2018,AK,Alaska,8.8,Overall
42216,2012,AK,Alaska,7.4,Female
42242,2016,AK,Alaska,7.5,Overall
42256,2014,AL,Alabama,15.8,"Black, non-Hispanic"
42311,2011,AL,Alabama,11.0,Male
42316,2014,AL,Alabama,9.2,"Other, non-Hispanic"
42340,2018,AL,Alabama,13.8,"Multiracial, non-Hispanic"
42344,2014,AK,Alaska,7.4,Overall
42418,2015,AK,Alaska,0.0,"Multiracial, non-Hispanic"
42433,2014,AK,Alaska,7.4,"White, non-Hispanic"
42437,2013,AK,Alaska,0.0,"Multiracial, non-Hispanic"
42460,2016,AK,Alaska,7.2,"White, non-Hispanic"
42464,2016,AL,Alabama,9.5,"Multiracial, non-Hispanic"
42465,2011,AL,Alabama,11.3,"White, non-Hispanic"
42479,2013,AL,Alabama,12.8,"White, non-Hispanic"
42488,2018,AK,Alaska,0.0,Hispanic
42544,2019,AL,Alabama,17.3,"Black, non-Hispanic"
42552,2011,AK,Alaska,0.0,"Black, non-Hispanic"
42566,2017,AL,Alabama,13.9,"White, non-Hispanic"
42589,2012,AK,Alaska,4.6,"Other, non-Hispanic"
42607,2016,AK,Alaska,0.0,Hispanic
42608,2014,AK,Alaska,0.0,Hispanic
42622,2017,AL,Alabama,15.8,"Black, non-Hispanic"
42638,2018,AK,Alaska,9.0,"White, non-Hispanic"
42644,2016,AL,Alabama,0.0,Hispanic
42649,2011,AL,Alabama,0.0,"Other, non-Hispanic"
42653,2017,AK,Alaska,0.0,"Multiracial, non-Hispanic"
42679,2014,AL,Alabama,13.0,Female
42682,2013,AK,Alaska,0.0,"Black, non-Hispanic"
42724,2019,AL,Alabama,0.0,Hispanic
42729,2017,AL,Alabama,0.0,"Other, non-Hispanic"
42753,2011,AK,Alaska,0.0,Hispanic
42767,2016,AK,Alaska,0.0,"Black, non-Hispanic"
42778,2014,AK,Alaska,0.0,"Black, non-Hispanic"
42788,2012,AK,Alaska,6.6,Male
42815,2019,AL,Alabama,13.3,"White, non-Hispanic"
42829,2012,AL,Alabama,12.6,Male
42831,2017,AL,Alabama,0.0,Hispanic
42846,2014,AL,Alabama,12.9,Male
42848,2016,AL,Alabama,17.1,"Black, non-Hispanic"
42853,2013,AK,Alaska,0.0,Hispanic
42878,2019,AK,Alaska,0.0,"Multiracial, non-Hispanic"
42921,2015,AK,Alaska,7.6,Overall
42937,2017,AK,Alaska,7.5,Overall
42965,2013,AK,Alaska,7.1,Overall
42972,2019,AL,Alabama,13.6,"Other, non-Hispanic"
42994,2018,AK,Alaska,0.0,"Black, non-Hispanic"
43017,2013,AL,Alabama,0.0,"Other, non-Hispanic"
43037,2019,AK,Alaska,7.3,Overall
43072,2018,AL,Alabama,14.5,Overall
43104,2018,AL,Alabama,14.7,Female
43108,2014,AL,Alabama,12.5,"White, non-Hispanic"
43147,2016,AL,Alabama,14.6,Overall
43151,2011,AK,Alaska,7.9,Overall
43155,2015,AL,Alabama,0.0,"Multiracial, non-Hispanic"
43203,2012,AL,Alabama,11.4,"White, non-Hispanic"
43209,2012,AL,Alabama,0.0,"Multiracial, non-Hispanic"
43238,2017,AK,Alaska,0.0,Hispanic
43243,2011,AL,Alabama,13.6,"Black, non-Hispanic"
43250,2014,AL,Alabama,0.0,"Multiracial, non-Hispanic"
43257,2019,AK,Alaska,0.0,Hispanic
43323,2012,AK,Alaska,0.0,"Black, non-Hispanic"
43385,2015,AK,Alaska,0.0,Hispanic
43400,2017,AK,Alaska,0.0,"Black, non-Hispanic"
43402,2018,AL,Alabama,14.1,"Other, non-Hispanic"
43406,2011,AL,Alabama,0.0,Hispanic
43444,2014,AK,Alaska,6.3,Male
43462,2013,AL,Alabama,0.0,Hispanic
43467,2016,AK,Alaska,7.6,Male
43476,2012,AK,Alaska,12.1,Hispanic
43487,2018,AK,Alaska,7.9,"Other, non-Hispanic"
43519,2015,AL,Alabama,0.0,Hispanic
43546,2015,AK,Alaska,0.0,"Black, non-Hispanic"
43579,2016,AL,Alabama,14.8,Male
43605,2018,AL,Alabama,14.2,Male
43629,2014,AK,Alaska,5.9,"Other, non-Hispanic"
43648,2011,AK,Alaska,0.0,"Multiracial, non-Hispanic"
43662,2018,AK,Alaska,9.7,Male
43669,2012,AL,Alabama,12.0,Female
43675,2015,AL,Alabama,13.5,Overall
43680,2016,AK,Alaska,6.5,"Other, non-Hispanic"
43762,2017,AR,Arkansas,12.6,"White, non-Hispanic"
43767,2019,AR,Arkansas,14.2,"Multiracial, non-Hispanic"
43788,2016,AR,Arkansas,13.8,Female
43815,2017,AR,Arkansas,0.0,"Multiracial, non-Hispanic"
43867,2012,AR,Arkansas,11.7,Female
43873,2019,AR,Arkansas,13.3,"White, non-Hispanic"
43883,2014,AR,Arkansas,12.5,Female
43974,2011,AR,Arkansas,11.2,"White, non-Hispanic"
43977,2013,AR,Arkansas,0.0,"Multiracial, non-Hispanic"
43984,2011,AR,Arkansas,0.0,Hispanic
44031,2015,AR,Arkansas,0.0,"Multiracial, non-Hispanic"
44090,2013,AR,Arkansas,0.0,Hispanic
44101,2019,AR,Arkansas,8.2,Hispanic
44107,2018,AR,Arkansas,13.4,Female
44112,2011,AR,Arkansas,0.0,"Multiracial, non-Hispanic"
44118,2017,AR,Arkansas,0.0,Hispanic
44126,2013,AR,Arkansas,11.4,"White, non-Hispanic"
44127,2015,AR,Arkansas,0.0,Hispanic
44157,2015,AR,Arkansas,12.6,"White, non-Hispanic"
44190,2012,AR,Arkansas,10.9,Male
44213,2013,AR,Arkansas,14.2,"Black, non-Hispanic"
44241,2015,AR,Arkansas,17.2,"Black, non-Hispanic"
44301,2018,AR,Arkansas,13.9,Overall
44317,2011,AR,Arkansas,11.7,"Black, non-Hispanic"
44321,2016,AR,Arkansas,13.1,Male
44336,2016,AR,Arkansas,13.5,Overall
44411,2014,AR,Arkansas,13.0,Male
44415,2019,AR,Arkansas,18.7,"Black, non-Hispanic"
44440,2018,AR,Arkansas,14.5,Male
