"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"Total:","3,344,006","±1,279","483,436","±429","4,846,056","±558","2,026,722","±1,113","26,665,143","±1,135","3,900,754","±1,046","2,489,205","±345","679,870","±205","501,986","±68","15,255,326","±1,702","6,996,425","±2,142","996,423","±187","1,145,344","±845","8,686,700","±1,237","4,466,180","±1,251","2,104,864","±892","1,911,990","±1,153","3,034,491","±1,445","3,139,520","±1,281","982,385","±504","4,164,698","±731","4,815,331","±646","6,853,674","±796","3,802,438","±996","1,983,112","±1,576","4,176,792","±1,622","734,688","±716","1,259,540","±702","2,093,820","±511","971,162","±494","6,169,501","±500","1,415,298","±944","13,649,157","±1,004","7,096,773","±1,493","497,525","±583","8,014,966","±1,115","2,611,680","±1,017","2,944,830","±938","8,989,998","±918","741,370","±428","3,512,626","±1,119","580,244","±692","4,649,847","±1,349","18,449,851","±2,584","1,868,472","±685","442,089","±398","5,831,949","±1,829","5,199,771","±913","1,283,869","±894","3,982,118","±781","392,819","±895","",""
"    Less than high school graduate","438,947","±6,033","33,176","±1,516","587,919","±6,064","260,360","±4,350","4,286,538","±22,296","308,785","±4,995","225,550","±4,101","63,843","±1,994","40,811","±1,798","1,751,798","±14,874","848,653","±8,776","74,875","±2,376","100,189","±2,925","898,338","±7,891","476,425","±6,833","158,401","±2,899","165,373","±3,393","389,642","±5,552","444,176","±6,401","66,525","±2,006","393,028","±6,142","429,794","±5,876","596,313","±5,987","252,331","±3,510","291,035","±5,106","393,045","±5,943","44,228","±1,518","106,184","±2,204","273,999","±4,342","65,455","±1,741","600,761","±6,849","191,076","±4,320","1,743,890","±13,628","815,216","±9,938","34,308","±1,529","738,770","±7,599","299,032","±3,849","260,785","±4,503","809,967","±8,109","80,258","±2,545","410,334","±6,603","45,170","±1,519","547,733","±6,880","2,884,734","±19,906","131,710","±2,919","28,757","±1,253","563,601","±8,149","431,403","±5,897","159,031","±3,360","295,207","±3,820","25,201","±1,166","",""
"    High school graduate (includes equivalency)","1,014,342","±8,502","137,486","±2,516","1,151,988","±9,967","686,812","±6,259","5,431,385","±26,859","827,081","±7,986","655,381","±7,095","210,998","±3,358","83,347","±2,394","4,308,542","±26,963","1,925,374","±15,793","272,031","±3,163","305,717","±4,149","2,220,409","±13,378","1,482,396","±9,329","647,371","±4,933","494,226","±4,906","990,196","±6,444","1,044,356","±8,004","307,457","±4,115","1,006,008","±8,238","1,133,358","±10,398","1,955,654","±10,537","921,198","±6,935","596,914","±6,559","1,275,987","±8,786","206,206","±2,817","324,098","±3,507","584,698","±5,429","264,953","±3,831","1,649,853","±13,082","370,125","±5,184","3,474,389","±18,921","1,806,403","±11,352","129,837","±2,173","2,629,870","±12,764","812,618","±4,796","667,341","±7,612","3,072,381","±13,628","207,358","±3,946","1,014,022","±8,764","175,340","±2,458","1,479,648","±10,004","4,559,034","±20,311","425,180","±6,332","124,892","±2,335","1,392,823","±11,305","1,133,689","±9,586","513,143","±4,931","1,205,321","±7,374","112,183","±2,405","",""
"    Some college or associate's degree","1,013,673","±7,201","167,807","±2,750","1,637,451","±9,403","596,855","±5,901","7,690,347","±21,236","1,142,035","±8,401","612,274","±6,504","182,986","±3,293","77,853","±2,045","4,535,040","±20,331","1,969,736","±12,836","315,028","±3,457","411,091","±4,471","2,482,679","±11,265","1,294,565","±8,550","681,977","±5,048","603,778","±4,593","895,321","±7,486","870,441","±7,589","289,228","±3,564","1,062,484","±7,059","1,108,037","±7,821","2,246,576","±7,767","1,230,334","±6,387","643,964","±5,527","1,257,176","±8,626","240,758","±2,976","419,943","±3,966","702,126","±6,167","276,069","±3,649","1,405,825","±9,420","455,809","±5,363","3,318,086","±13,964","2,201,264","±10,832","180,727","±2,248","2,330,787","±9,688","817,128","±5,713","1,003,660","±6,528","2,201,133","±11,220","194,110","±3,598","1,069,964","±8,164","189,743","±2,790","1,313,494","±8,691","5,343,905","±14,620","663,512","±4,716","113,112","±2,056","1,571,035","±9,339","1,727,441","±9,289","338,270","±4,110","1,255,043","±6,940","144,736","±2,307","",""
"    Bachelor's degree","546,674","±6,282","90,161","±2,021","911,228","±8,067","308,648","±5,611","5,764,827","±21,887","1,015,989","±7,701","551,459","±4,479","129,092","±2,791","126,808","±2,650","2,938,593","±19,010","1,377,311","±11,045","218,679","±3,054","221,092","±3,752","1,875,011","±11,436","770,901","±8,093","415,048","±4,461","410,344","±4,799","447,884","±5,432","499,998","±7,776","199,746","±3,589","907,523","±7,441","1,181,453","±8,613","1,251,117","±8,218","919,059","±5,906","274,566","±5,133","770,259","±7,317","163,183","±2,709","269,312","±2,976","348,505","±4,933","223,814","±3,634","1,530,150","±10,446","223,875","±3,630","2,854,930","±13,800","1,448,972","±12,259","109,962","±2,158","1,438,177","±10,071","448,366","±5,150","627,360","±6,095","1,754,311","±11,761","155,981","±2,906","638,394","±6,606","116,400","±2,277","826,947","±8,325","3,671,085","±20,704","429,936","±5,301","103,940","±1,971","1,304,079","±10,510","1,183,949","±8,446","163,598","±3,249","806,518","±5,951","69,396","±1,711","",""
"    Graduate or professional degree","330,370","±5,948","54,806","±1,643","557,470","±7,063","174,047","±3,342","3,492,046","±22,526","606,864","±6,979","444,541","±5,830","92,951","±2,511","173,167","±2,870","1,721,353","±15,771","875,351","±10,767","115,810","±2,304","107,255","±3,253","1,210,263","±10,235","441,893","±5,668","202,067","±3,265","238,269","±3,232","311,448","±5,176","280,549","±4,858","119,429","±2,560","795,655","±7,750","962,689","±8,858","804,014","±7,226","479,516","±5,353","176,633","±3,755","480,325","±6,039","80,313","±1,975","140,003","±2,586","184,492","±3,254","140,871","±2,594","982,912","±9,450","174,413","±3,764","2,257,862","±16,854","824,918","±9,497","42,691","±1,445","877,362","±8,491","234,536","±3,220","385,684","±4,750","1,152,206","±10,294","103,663","±2,412","379,912","±5,698","53,591","±1,776","482,025","±7,669","1,991,093","±18,578","218,134","±3,337","71,388","±1,719","1,000,411","±10,264","723,289","±8,116","109,827","±2,937","420,029","±5,069","41,303","±1,533","",""
"    Born in state of residence:","2,166,432","±7,119","137,855","±2,122","1,168,846","±9,282","1,105,249","±5,907","11,321,193","±27,158","1,175,113","±7,794","1,162,786","±7,649","235,604","±3,319","141,195","±2,550","3,443,374","±15,291","3,150,173","±13,830","465,280","±5,201","412,701","±5,025","5,192,730","±12,595","2,790,971","±8,356","1,414,945","±4,561","996,071","±5,319","1,965,741","±7,226","2,330,167","±7,428","562,779","±3,404","1,570,735","±7,232","2,592,214","±10,254","4,935,464","±6,806","2,350,267","±7,497","1,338,393","±5,618","2,521,836","±9,104","336,422","±3,442","741,899","±4,123","232,630","±4,262","313,748","±3,353","2,585,692","±10,472","634,250","±4,297","7,506,005","±17,288","3,449,404","±9,997","298,395","±2,755","5,653,525","±9,921","1,390,534","±5,277","1,036,464","±7,767","6,175,217","±12,379","378,908","±3,681","1,731,431","±7,158","338,357","±2,258","2,429,834","±10,201","9,045,838","±24,296","960,715","±6,207","194,300","±2,130","2,340,071","±8,264","1,873,630","±9,180","865,841","±3,895","2,660,277","±6,351","132,694","±2,489","",""
"        Less than high school graduate","304,025","±5,410","13,430","±747","145,346","±3,491","135,062","±3,046","911,392","±7,655","87,897","±3,036","69,977","±2,265","23,093","±1,257","16,487","±1,148","373,929","±7,021","434,597","±6,029","24,527","±1,118","28,594","±1,504","349,205","±5,065","261,655","±4,006","78,811","±1,839","61,278","±1,926","273,087","±4,136","341,223","±5,778","43,907","±1,709","149,108","±3,692","149,356","±3,979","362,790","±4,776","111,841","±2,454","211,319","±4,245","235,278","±4,110","21,269","±873","38,360","±1,425","19,249","±1,127","26,057","±1,256","152,570","±3,076","82,490","±2,384","580,321","±7,337","438,257","±6,580","20,553","±967","474,136","±5,673","135,196","±2,969","66,307","±2,130","489,289","±5,973","31,767","±1,579","253,981","±4,456","26,216","±1,162","315,689","±4,781","1,020,021","±8,778","46,985","±1,804","16,629","±925","283,549","±4,342","113,725","±2,754","118,755","±2,955","157,077","±2,637","7,045","±557","",""
"        High school graduate (includes equivalency)","724,871","±7,065","51,690","±1,538","324,724","±5,517","404,992","±4,914","2,644,937","±15,366","328,213","±5,049","365,777","±5,489","89,661","±2,358","49,037","±2,173","1,105,809","±11,149","1,082,256","±11,700","152,177","±3,238","125,671","±3,415","1,462,597","±10,155","1,023,968","±7,303","479,946","±4,448","291,161","±3,843","701,810","±6,072","827,558","±7,124","213,422","±3,482","520,459","±5,189","724,377","±7,828","1,515,150","±9,739","646,349","±5,624","416,863","±5,192","854,288","±7,114","106,523","±2,290","209,522","±2,871","75,533","±2,534","108,162","±2,654","800,992","±7,965","203,482","±3,640","2,071,821","±13,866","1,064,868","±7,769","80,955","±1,697","2,013,887","±12,122","466,216","±3,848","284,646","±5,436","2,372,339","±11,371","120,080","±2,941","591,508","±7,390","111,045","±1,933","899,676","±8,111","2,622,105","±15,242","240,718","±4,264","77,997","±1,770","761,877","±7,225","493,880","±6,067","369,139","±4,767","893,810","±6,100","41,017","±1,462","",""
"        Some college or associate's degree","657,492","±5,972","46,282","±1,361","434,449","±6,078","322,172","±4,380","4,134,207","±16,968","385,276","±4,975","327,633","±4,977","65,884","±2,273","38,106","±1,707","1,084,453","±10,093","907,862","±7,884","148,727","±2,697","156,632","±3,025","1,705,570","±9,295","834,465","±7,223","478,859","±4,633","341,622","±4,140","578,127","±6,233","644,364","±7,083","171,355","±3,030","448,693","±3,978","705,212","±7,155","1,736,169","±8,015","836,669","±5,087","430,973","±4,639","767,333","±6,682","111,631","±2,483","263,527","±3,004","84,646","±2,396","93,711","±2,323","666,961","±6,089","221,066","±3,964","2,132,775","±11,060","1,136,370","±9,704","110,009","±2,024","1,709,244","±9,549","443,184","±4,653","396,154","±4,938","1,548,286","±9,049","111,942","±2,847","520,818","±5,914","111,057","±2,093","670,355","±7,252","2,978,636","±14,355","368,885","±4,441","52,707","±1,373","686,826","±5,775","707,931","±6,233","217,340","±3,412","873,526","±5,584","53,334","±1,884","",""
