Year,State, Number of households (average) , Number of households interviewed ,Food insecurity prevalence,Food insecurity-Margin of error,Very low food security prevalence,Very low food security-Margin of error 
2001-2003,U.S. total," 109,546,000 "," 144,686 ",11.0,0.23,3.4,0.11
2001-2003,AK," 232,000 "," 1,967 ",11.5,1.67,4.1,0.79
2001-2003,AL," 1,805,000 "," 2,161 ",12.5,1.23,3.2,0.68
2001-2003,AR," 1,062,000 "," 1,730 ",15.5,1.75,4.7,1.21
2001-2003,AZ," 1,958,000 "," 1,932 ",12.3,1.36,3.8,0.65
2001-2003,CA," 12,617,000 "," 9,165 ",12.2,0.64,3.6,0.38
2001-2003,CO," 1,717,000 "," 2,916 ",9.7,0.77,3.0,0.42
2001-2003,CT," 1,287,000 "," 2,492 ",8.0,0.73,3.0,0.50
2001-2003,DC," 264,000 "," 1,782 ",9.0,1.19,2.4,0.58
2001-2003,DE," 306,000 "," 1,827 ",6.7,1.08,1.8,0.69
2001-2003,FL," 6,532,000 "," 6,253 ",11.7,0.73,3.7,0.47
2001-2003,GA," 3,233,000 "," 1,949 ",12.9,1.48,3.6,0.70
2001-2003,HI," 411,000 "," 1,595 ",9.9,1.40,3.3,0.86
2001-2003,IA," 1,169,000 "," 2,593 ",9.5,1.02,3.0,0.71
2001-2003,ID," 503,000 "," 1,952 ",13.7,1.45,3.9,0.74
2001-2003,IL," 4,784,000 "," 5,046 ",7.9,0.68,2.5,0.44
2001-2003,IN," 2,413,000 "," 2,834 ",9.9,1.08,3.4,0.65
2001-2003,KS," 1,061,000 "," 2,583 ",11.7,1.28,4.4,0.62
2001-2003,KY," 1,638,000 "," 2,073 ",11.2,1.41,3.3,0.66
2001-2003,LA," 1,689,000 "," 1,546 ",12.3,1.24,2.6,0.70
2001-2003,MA," 2,533,000 "," 2,857 ",6.2,1.21,2.3,0.55
2001-2003,MD," 2,096,000 "," 2,403 ",7.7,1.17,2.9,0.65
2001-2003,ME," 536,000 "," 2,695 ",9.2,1.08,2.9,0.54
2001-2003,MI," 3,965,000 "," 3,982 ",10.1,0.68,3.4,0.55
2001-2003,MN," 1,918,000 "," 2,792 ",7.1,0.99,2.2,0.61
2001-2003,MO," 2,241,000 "," 2,288 ",10.4,1.45,3.6,0.70
2001-2003,MS," 1,076,000 "," 1,469 ",14.9,1.43,4.0,0.79
2001-2003,MT," 376,000 "," 1,763 ",12.5,1.19,4.0,0.85
2001-2003,NC," 3,184,000 "," 3,011 ",13.7,1.26,4.5,0.59
2001-2003,ND," 263,000 "," 2,416 ",6.9,1.07,2.0,0.54
2001-2003,NE," 667,000 "," 2,375 ",10.4,1.29,3.0,0.56
2001-2003,NH," 496,000 "," 2,515 ",6.4,0.79,2.1,0.45
2001-2003,NJ," 3,168,000 "," 3,329 ",8.6,0.93,3.1,0.65
2001-2003,NM," 700,000 "," 1,599 ",14.8,1.46,4.4,0.92
2001-2003,NV," 767,000 "," 2,746 ",9.2,0.96,3.4,0.64
2001-2003,NY," 7,190,000 "," 6,990 ",10.0,0.50,3.1,0.45
2001-2003,OH," 4,475,000 "," 4,611 ",10.9,0.90,3.6,0.55
2001-2003,OK," 1,386,000 "," 1,983 ",14.1,1.38,5.2,0.76
2001-2003,OR," 1,388,000 "," 2,354 ",12.9,1.16,4.3,0.62
2001-2003,PA," 4,755,000 "," 5,302 ",9.5,0.70,2.6,0.47
2001-2003,RI," 404,000 "," 2,549 ",11.1,1.31,3.6,0.52
2001-2003,SC," 1,583,000 "," 1,821 ",13.5,1.23,4.9,0.93
2001-2003,SD," 296,000 "," 2,454 ",8.9,1.09,2.4,0.50
2001-2003,TN," 2,291,000 "," 1,738 ",10.9,1.25,3.3,0.70
2001-2003,TX," 7,808,000 "," 5,693 ",14.9,0.88,4.1,0.47
2001-2003,UT," 737,000 "," 1,811 ",14.6,1.73,4.4,0.89
2001-2003,VA," 2,835,000 "," 2,301 ",8.4,0.82,2.2,0.45
2001-2003,VT," 254,000 "," 2,271 ",8.9,0.98,3.0,0.62
2001-2003,WA," 2,379,000 "," 2,671 ",11.6,1.23,3.9,0.67
2001-2003,WI," 2,143,000 "," 3,100 ",9.0,0.97,3.2,0.51
2001-2003,WV," 750,000 "," 2,296 ",8.9,0.80,2.7,0.50
2001-2003,WY," 205,000 "," 2,105 ",10.1,1.25,4.2,0.90
